field_drop
3- ActivityIdentifier        
4- ActivityTypeCode      
5- ActivityMediaName  
6- ActivityMediaSubdivisionName
12- ActivityEndTime.TimeZoneCode      
13- ActivityDepthHeightMeasure.MeasureValue
14- ActivityDepthHeightMeasure.MeasureUnitCode       
15- ActivityDepthAltitudeReferencePointText    
16- ActivityTopDepthHeightMeasure.MeasureValue
17- ActivityTopDepthHeightMeasure.MeasureUnitCode
18- ActivityBottomDepthHeightMeasure.MeasureValue
19- ActivityBottomDepthHeightMeasure.MeasureUnitCode
24- SampleAquifer
27- SampleCollectionMethod.MethodIdentifier
28- SampleCollectionMethod.MethodIdentifierContext
29- ResultDetectionConditionText
38- StatisticalBaseCode
39- ResultValueTypeName         
40- ResultWeightBasisText         
41- ResultTimeBasisText             
42- ResultTemperatureBasisText            
43- ResultParticleSizeBasisText 
44- PrecisionValue         
45- ResultCommentText
47- ResultDepthHeightMeasure.MeasureValue 
48- ResultDepthHeightMeasure.MeasureUnitCode         
49- ResultDepthAltitudeReferencePointText      
50- SubjectTaxonomicName      
51- SampleTissueAnatomyName            
52- ResultAnalyticalMethod.MethodIdentifier   
53- ResultAnalyticalMethod.MethodIdentifierContext   
54- ResultAnalyticalMethod.MethodName
55- MethodDescriptionText       
56- LaboratoryName     
57- AnalysisStartDate   
58- ResultLaboratoryCommentText        
59- DetectionQuantitationLimitTypeName         
60- DetectionQuantitationLimitMeasure.MeasureValue
61- DetectionQuantitationLimitMeasure.MeasureUnitCode        
62- PreparationStartDate
65- ActivityEndDateTime
